id,risk_score,gender,num_public_record_items,age_most_rec_pub_record,collection_items,bankruptcy_prior,bankrupt_other_hh_member,inq_past_12mos,age_of_most_recent_inq,inq_fin_last_6mos,inq_promo,inq_bank_promo,age_of_oldest_trade,tot_accts_open_last_24m,tot_accts_on_file,tot_open_accts_on_file,tot_bal_open_accts,income,num_past_due_accts,amt_past_due_balances,worst_credit_rating,current_accts_total,current_accts_30day,current_accts_60day,current_accts_90day,current_accts_bad_debt,tot_accts_paid_satis,tot_accts_30days_ever,tot_accts_60days_ever,tot_accts_90days_ever,tot_accts_bad_debt_ever,tot_accts_paid_satis_24m,tot_accts_30d_pd_in_24m,tot_accts_60d_pd_in_24m,tot_accts_90d_pd_in_24m,tot_accts_bad_debt_24m,tot_open_accts_bal_gt_0,avg_mos_accts_open,marital_status,LOAN_DEFAULT,GEO_REGION
11,707,M,0,0,0,0,0,1,6,1,1,0,41,8,10,8,8695,9836,1,2524,5,7,0,0,0,1,6,1,0,0,1,7,0,0,0,1,8,17,W,0,West
12,753,M,2,58,1,0,0,5,2,2,2,0,306,2,16,7,13282,25631,2,243,6,13,0,0,1,2,5,1,1,7,2,6,3,0,2,2,6,77,W,0,West
13,985,M,0,0,0,0,0,1,3,0,8,3,177,4,30,15,2144,49385,0,0,1,29,0,0,0,0,28,1,0,0,0,20,1,0,0,0,6,70,M,0,East
14,707,M,0,0,0,0,0,23,1,9,5,3,56,7,11,5,30153,32894,0,0,5,9,0,0,1,0,9,0,0,1,0,8,0,0,0,0,4,22,W,0,Midwest
15,737,F,1,1,0,1,0,0,8,1,0,0,90,3,7,4,7741,10297,2,343,6,4,1,1,0,1,4,1,1,0,1,4,1,1,0,1,3,28,W,0,Midwest
16,668,F,2,3,2,0,0,0,20,2,0,0,46,1,4,2,26,26,0,0,1,4,0,0,0,0,2,0,1,1,0,2,0,1,1,0,1,32,W,0,Midwest
17,865,M,0,0,0,0,0,0,22,0,0,0,295,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,295,S,0,East
18,965,F,0,0,0,0,0,1,4,0,4,4,179,4,25,5,1597,27520,0,0,1,20,0,0,0,0,20,0,0,0,0,14,0,0,0,0,3,86,M,0,West
19,955,M,0,0,0,0,0,2,1,1,1,1,141,0,15,3,333,21000,0,0,1,12,0,0,0,0,12,0,0,0,0,4,0,0,0,0,3,85,M,0,West
20,722,M,0,0,0,0,0,4,1,1,10,4,56,3,5,4,9226,10100,0,0,1,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,29,W,0,Midwest
21,954,F,0,0,0,0,0,5,2,1,3,0,301,3,18,8,1019,16012,0,0,1,15,0,0,0,0,12,3,0,0,0,11,0,0,0,0,3,58,M,0,East
22,833,F,1,26,1,0,0,0,11,1,1,0,84,4,12,5,17125,25350,0,0,1,11,0,0,0,0,10,0,1,0,0,6,0,0,0,0,5,49,S,0,West
23,920,M,0,0,0,0,0,0,0,0,5,2,96,1,3,2,641,3300,0,0,1,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,65,M,0,West
24,980,F,0,0,0,0,0,0,12,0,8,0,235,1,37,27,89868,128085,0,0,1,35,0,0,0,0,32,3,0,0,0,28,2,0,0,0,19,93,M,0,West
25,448,F,0,0,0,0,0,3,4,1,3,0,32,11,14,13,11568,,8,586,4,4,1,5,2,0,2,2,6,2,0,2,2,6,2,0,13,16,D,0,East
26,906,F,0,0,0,0,0,0,7,0,0,0,11,2,2,2,0,1102,0,0,1,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,9,S,0,East
27,678,F,3,28,3,0,0,0,0,0,0,0,4,2,2,2,332,750,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,W,0,East
28,956,F,0,0,0,0,0,6,0,3,6,3,214,3,23,13,19608,37948,0,0,1,21,0,0,0,0,18,3,0,0,0,17,1,0,0,0,11,99,M,0,Midwest
29,619,F,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,W,0,West
30,848,F,0,0,0,0,0,0,10,0,5,3,46,5,8,7,17145,22695,0,0,1,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,22,S,0,West
31,990,F,0,0,0,0,0,0,0,0,5,3,352,3,34,15,11020,90310,0,0,1,33,0,0,0,0,33,0,0,0,0,28,0,0,0,0,7,95,M,0,West
32,858,M,0,0,0,0,0,1,5,0,2,2,10,2,2,2,117,1600,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6,S,0,Midwest
33,389,M,4,5,2,0,0,7,1,9,0,0,59,2,9,3,975,1293,3,1105,6,2,0,2,0,3,2,0,1,1,3,1,0,0,1,2,3,35,D,0,Midwest
34,799,F,0,0,0,0,0,0,8,0,4,1,49,5,11,4,14990,15320,0,0,1,10,0,0,0,0,8,1,1,0,0,8,1,1,0,0,4,26,S,0,East
35,965,M,1,51,0,0,0,2,2,1,6,1,303,3,15,6,1264,32325,0,0,1,12,0,0,0,0,12,0,0,0,0,8,0,0,0,0,3,141,M,0,Midwest
36,796,F,1,8,1,0,0,0,14,0,4,3,65,2,13,6,20182,22418,0,0,1,12,0,0,0,0,10,0,2,0,0,7,0,2,0,0,6,41,S,0,Midwest
37,744,F,0,0,0,0,0,0,0,0,0,0,13,2,2,2,83,800,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,9,W,0,East
38,958,F,0,0,0,0,0,0,0,0,0,0,402,0,6,2,0,4000,0,0,1,5,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,112,M,0,Midwest
39,968,F,0,0,0,0,0,2,1,0,7,2,161,10,35,12,13349,67266,0,0,1,28,0,0,0,0,28,0,0,0,0,19,0,0,0,0,3,53,M,0,West
40,611,M,0,0,0,0,0,0,0,0,1,0,31,1,2,1,9625,9625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,W,0,East
41,908,M,0,0,0,0,0,0,11,2,9,1,89,7,26,11,38138,46795,1,295,2,23,1,0,0,0,22,2,0,0,0,15,2,0,0,0,9,45,S,0,East
42,972,M,0,0,0,0,0,4,5,5,17,3,265,4,29,16,49059,75054,0,0,1,26,0,0,0,0,26,0,0,0,0,20,0,0,0,0,9,77,M,0,Midwest
43,944,M,0,0,0,0,0,3,1,1,9,1,152,1,15,10,23551,38793,0,0,1,14,0,0,0,0,14,0,0,0,0,12,0,0,0,0,9,97,M,0,Midwest
44,923,M,0,0,0,0,0,1,2,1,5,1,72,9,18,10,27349,36048,0,0,1,13,0,0,0,0,13,0,0,0,0,13,0,0,0,0,9,24,M,0,West
45,900,M,0,0,0,0,0,2,1,0,2,1,6,2,2,2,120,1100,0,0,1,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,4,S,0,South
46,873,M,0,0,0,0,0,0,0,0,0,0,185,0,1,1,342,605,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,185,S,0,West
47,886,F,0,0,0,0,0,0,9,1,1,0,25,3,4,4,464,2750,0,0,1,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,17,S,0,East
48,908,M,1,26,1,0,0,0,0,0,2,0,44,3,6,5,17125,22885,0,0,1,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,1,27,S,0,East
49,797,F,0,0,0,0,0,5,1,0,6,2,55,5,12,6,26853,32600,0,0,1,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,30,S,0,Midwest
50,966,M,0,0,0,0,0,0,0,0,4,2,184,4,31,13,59609,72341,0,0,1,30,0,0,0,0,30,0,0,0,0,17,0,0,0,0,11,71,M,0,West
51,898,F,0,0,0,0,0,0,12,1,10,1,114,4,12,4,8839,10708,0,0,1,12,0,0,0,0,12,0,0,0,0,6,0,0,0,0,3,58,S,0,Midwest
52,920,M,0,0,0,0,0,0,15,0,4,3,42,0,4,3,2678,15700,0,0,1,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,2,33,M,0,West
53,650,F,0,0,0,0,0,2,1,0,0,0,1,1,1,1,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,Midwest
54,950,M,0,0,0,0,0,1,2,0,2,0,246,3,12,4,32,11200,0,0,2,10,1,0,0,0,10,1,0,0,0,7,1,0,0,0,2,104,,0,South
55,854,F,0,0,0,0,0,3,0,0,10,4,211,2,9,5,11192,16681,1,109,2,7,2,0,0,0,3,5,1,0,0,4,3,0,0,0,3,101,S,0,West
56,783,F,0,0,0,0,0,0,7,0,8,5,103,2,9,5,8354,8730,1,130,3,8,0,1,0,0,7,1,1,0,0,4,1,1,0,0,5,48,W,0,Midwest
57,888,M,0,0,0,0,0,0,9,4,3,2,31,4,5,2,17131,19560,0,0,1,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,2,18,S,0,Midwest
58,875,M,0,0,0,0,0,1,2,0,4,2,19,6,6,6,13144,18609,0,0,1,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,4,11,S,0,West
59,697,M,0,0,0,0,0,3,1,0,2,0,15,2,2,2,6769,7426,1,183,2,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,13,W,0,West
60,897,F,0,0,0,0,0,0,0,0,0,0,34,1,2,2,538,2000,0,0,1,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,24,S,0,West
61,835,M,3,3,2,1,0,1,3,0,1,1,3,1,1,1,183,400,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,S,0,Midwest
62,832,M,4,4,4,0,0,3,1,0,3,1,181,0,23,8,13637,22504,4,2986,6,17,0,0,0,5,5,3,5,4,5,3,2,0,1,5,6,111,S,0,West
63,777,F,0,0,0,0,0,0,0,0,14,3,72,0,12,10,9838,12796,0,0,1,11,0,0,0,0,6,4,1,0,0,6,4,1,0,0,10,44,W,0,West
64,432,F,0,0,0,0,0,2,6,1,10,7,39,6,12,9,20613,24022,5,2504,6,5,1,0,1,5,2,1,1,3,5,2,1,1,3,5,7,24,D,0,Midwest
65,784,F,1,9,1,0,0,0,0,0,3,2,47,1,5,4,16224,17115,0,0,1,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,34,W,0,East
66,971,M,0,0,0,0,0,3,1,2,14,7,212,4,28,11,16636,38021,0,0,1,27,0,0,0,0,26,1,0,0,0,17,1,0,0,0,6,82,M,0,Midwest
67,915,U,0,0,0,0,0,0,0,0,2,0,168,0,23,6,6465,11933,0,0,3,20,0,1,0,0,17,2,0,2,0,11,0,1,0,0,6,90,M,0,Midwest
68,948,M,0,0,0,0,0,0,0,0,2,0,236,0,4,1,175,4000,0,0,1,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,110,M,1,Midwest
69,753,M,0,0,0,0,0,0,0,0,1,1,34,2,5,3,7804,10412,0,0,1,4,0,0,0,0,3,1,0,0,0,3,1,0,0,0,2,23,W,0,East
70,891,M,0,0,0,0,0,0,0,0,2,1,257,0,7,3,1678,1752,0,0,1,6,0,0,0,0,6,0,0,0,0,3,0,0,0,0,3,133,S,0,West
71,883,F,0,0,0,0,0,0,0,0,1,0,25,1,2,2,314,3800,0,0,1,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,15,S,0,East
72,960,M,0,0,0,0,0,2,1,1,0,0,163,2,12,8,317,43064,0,0,1,12,0,0,0,0,12,0,0,0,0,10,0,0,0,0,1,57,M,0,Midwest
73,777,M,0,0,0,0,0,0,0,0,3,1,23,3,3,2,6543,7925,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,19,W,0,East
74,930,F,0,0,0,0,0,0,0,0,6,2,44,5,8,7,4,8713,0,0,1,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,1,21,M,0,East
75,795,F,1,20,0,0,0,0,14,1,6,4,80,5,18,4,11959,16224,0,0,2,14,1,0,0,0,11,1,0,3,0,5,1,0,3,0,4,40,S,0,South
76,478,F,2,5,2,0,0,2,1,2,2,0,34,1,2,1,20387,22236,0,0,2,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,1,21,D,0,East
77,942,F,0,0,0,0,0,1,1,0,2,1,236,2,7,7,551,12080,0,0,1,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,3,64,M,0,Midwest
78,463,F,2,7,2,0,0,1,5,0,2,1,40,0,5,3,749,864,2,1356,6,2,0,0,2,1,0,0,0,4,1,0,0,0,4,1,1,37,D,0,South
79,856,M,0,0,0,0,0,0,0,0,3,2,102,0,17,12,10382,19756,0,0,6,10,0,0,0,5,7,2,1,0,5,8,1,0,0,5,7,57,S,0,West
80,515,M,3,6,2,0,0,2,1,0,0,0,69,1,5,2,23228,25119,1,2415,6,1,0,0,0,4,1,0,0,0,4,0,0,0,0,2,2,44,D,0,West
81,802,F,2,78,0,0,0,0,7,0,1,1,161,7,12,8,8368,14362,2,562,6,8,0,0,0,2,8,0,0,0,2,6,0,0,0,1,8,58,S,0,East
82,963,M,0,0,0,0,0,0,17,0,3,2,258,3,17,9,1157,24125,0,0,2,15,1,0,0,0,12,3,0,1,0,12,0,0,1,0,2,82,M,0,West
83,458,F,3,2,1,0,0,1,2,3,0,0,20,4,4,3,1271,1272,3,1315,6,1,0,0,0,3,1,0,0,0,3,1,0,0,0,3,2,19,D,1,Midwest
84,501,M,4,11,3,1,0,0,8,0,4,1,90,4,15,5,32429,37572,3,11301,6,8,1,0,0,5,3,4,1,1,5,3,4,0,0,1,5,47,D,0,East
85,627,M,23,4,23,0,0,0,0,0,0,0,120,0,7,2,1299,1146,4,1797,6,3,0,0,0,4,1,0,2,0,4,0,0,0,0,2,2,103,W,0,East
86,769,F,0,0,0,0,0,3,3,2,4,0,162,8,26,18,8449,15557,5,476,6,19,4,0,0,1,14,7,1,1,1,13,6,1,1,1,15,57,W,0,Midwest
87,964,F,0,0,0,0,0,1,1,0,5,2,173,4,13,6,375,26559,0,0,1,13,0,0,0,0,13,0,0,0,0,10,0,0,0,0,3,70,M,0,East
88,693,F,1,3,1,0,0,0,8,0,2,1,72,0,9,7,672,2388,1,582,6,4,0,0,0,5,0,2,0,2,5,0,1,0,2,5,2,61,W,1,Midwest
89,922,M,0,0,0,0,0,2,1,0,2,2,36,0,1,1,14,1000,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,36,M,0,Midwest
90,933,M,0,0,0,0,0,1,2,1,4,0,198,2,19,9,14001,50994,0,0,6,16,0,0,0,1,15,0,1,0,1,10,0,0,0,0,4,89,M,0,South
91,875,F,1,20,1,0,0,2,0,2,3,2,171,1,21,6,6618,15406,0,0,6,19,0,1,0,1,14,5,1,0,1,10,2,1,0,0,2,81,,0,South
92,513,F,0,0,0,0,0,0,14,0,2,2,22,2,2,0,0,0,2,315,5,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,21,D,0,West
93,662,M,1,10,1,0,0,2,1,4,1,1,13,2,2,2,24631,28338,0,0,1,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,11,W,0,Midwest
94,903,F,0,0,0,0,0,0,0,0,0,0,57,2,3,3,4152,7200,0,0,1,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,27,S,0,West
95,822,M,0,0,0,0,0,0,8,0,1,0,35,4,7,6,17138,21359,0,0,1,7,0,0,0,0,6,0,0,1,0,6,0,0,1,0,6,23,S,0,East
96,846,M,0,0,0,0,0,0,9,0,1,0,10,3,3,3,10775,12961,0,0,1,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,5,S,0,Midwest
97,852,M,0,0,0,0,0,0,21,0,9,3,34,1,7,6,6760,9200,1,16,2,5,1,0,0,0,5,1,0,0,0,5,1,0,0,0,3,30,S,0,South
98,948,F,0,0,0,0,0,2,1,0,2,2,141,4,18,13,5510,15150,0,0,1,17,0,0,0,0,15,1,0,1,0,16,0,0,0,0,6,51,M,0,West
99,801,M,0,0,0,0,0,2,3,0,4,0,14,2,2,2,5179,6522,0,0,1,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,9,S,0,West
100,925,F,0,0,0,0,0,2,1,1,7,1,45,11,18,11,10283,26313,0,0,1,11,0,0,0,0,11,0,0,0,0,11,0,0,0,0,4,20,M,0,South
101,940,M,0,0,0,0,0,2,3,0,12,7,216,5,19,8,37759,68008,0,0,1,16,0,0,0,0,15,2,0,0,0,9,0,0,0,0,4,86,M,0,West
102,750,U,1,89,0,1,0,0,10,2,1,1,99,2,6,3,9559,14309,0,0,5,4,0,0,1,0,4,0,0,1,0,3,0,0,0,0,3,43,W,0,South
103,947,F,0,0,0,0,0,0,0,0,1,0,70,0,14,3,105,10272,0,0,5,12,0,0,0,1,12,0,0,0,1,11,0,0,0,1,1,53,M,0,West
104,715,M,1,9,1,0,0,0,16,0,4,2,76,1,2,2,418,500,0,0,5,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,44,W,0,West
105,927,M,0,0,0,0,0,0,8,1,2,0,76,1,17,8,10796,29218,0,0,1,15,0,0,0,0,13,1,1,0,0,13,0,1,0,0,5,40,M,0,West
106,698,M,0,0,0,0,0,4,1,3,0,0,46,1,3,2,729,1026,0,0,1,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2,29,W,1,Midwest
107,696,F,0,0,0,0,0,0,0,0,0,0,69,0,2,2,336,736,0,0,6,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,58,W,0,West
108,969,U,0,0,0,0,0,5,2,1,26,5,87,6,24,19,15540,60174,0,0,1,23,0,0,0,0,23,0,0,0,0,20,0,0,0,0,6,43,M,0,East
109,966,U,1,81,0,0,0,3,1,0,8,3,139,2,21,11,39863,49362,0,0,1,21,0,0,0,0,19,1,0,1,0,16,0,0,0,0,5,90,M,0,Midwest
110,892,F,0,0,0,0,0,1,3,0,3,2,42,4,5,5,1755,14718,0,0,1,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,3,14,S,0,East
111,791,M,0,0,0,0,0,0,0,0,0,0,8,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,8,W,0,West
112,424,U,0,0,0,0,0,0,8,0,0,0,24,3,3,3,5573,6457,2,55,3,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,3,15,D,0,West
113,869,M,0,0,0,0,0,0,0,0,2,1,35,2,4,4,28987,52236,0,0,1,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,19,S,0,West
114,702,M,1,56,0,1,0,0,8,0,1,1,113,1,7,2,40271,42165,1,36,6,3,1,0,0,2,1,3,0,0,2,0,1,0,0,0,2,72,W,0,West
115,880,M,1,48,1,0,0,0,15,0,11,3,99,1,12,6,11641,16761,1,20,3,9,0,1,0,0,8,1,1,0,0,5,0,1,0,0,5,65,S,0,South
116,747,F,10,1,9,1,0,0,17,0,2,1,119,1,3,1,2582,5973,0,0,1,3,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,72,W,0,East
117,762,M,0,0,0,0,0,4,2,0,1,0,17,1,1,1,11224,11224,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17,W,0,South
118,680,M,2,2,2,0,0,1,6,3,6,1,124,1,8,3,5485,13337,1,3527,6,6,0,1,0,1,0,3,3,1,1,1,0,2,0,0,3,86,W,0,Midwest
119,850,M,0,0,0,0,0,0,13,0,0,0,17,2,2,1,144,144,0,0,1,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,15,S,0,West
120,894,F,0,0,0,0,0,3,1,1,0,0,5,1,1,1,0,1000,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,S,0,South
121,682,M,1,35,0,0,0,0,0,0,1,1,111,0,8,2,1222,830,3,1643,6,3,0,0,1,2,1,0,0,3,2,2,0,0,1,2,1,49,W,0,West
122,925,M,0,0,0,0,0,0,10,0,0,0,80,1,2,2,2456,10082,0,0,1,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,45,M,0,West
123,816,M,0,0,0,0,0,0,0,0,1,0,19,2,2,2,3500,5000,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,15,S,0,East
124,736,M,0,0,0,0,0,1,0,0,0,0,39,1,3,3,23283,24885,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,26,W,0,West
125,951,M,0,0,0,0,0,1,2,0,5,2,132,1,10,9,5225,32024,0,0,1,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,7,87,M,0,Midwest
126,936,M,0,0,0,0,0,0,0,0,5,2,73,3,10,5,960,8130,0,0,1,10,0,0,0,0,10,0,0,0,0,7,0,0,0,0,2,35,M,0,East
127,965,M,0,0,0,0,0,1,2,0,5,2,222,1,15,8,2468,40453,0,0,1,13,0,0,0,0,13,0,0,0,0,8,0,0,0,0,3,122,M,0,Midwest
128,880,M,0,0,0,0,0,2,4,2,2,0,77,2,11,4,355,8950,1,350,5,7,0,0,1,0,7,0,0,1,0,5,0,0,0,0,3,44,S,0,South
129,558,F,1,15,1,0,0,1,1,0,0,0,55,1,4,4,19312,34114,1,429,4,3,0,0,1,0,0,2,0,2,0,0,2,0,2,0,3,40,D,0,West
130,532,M,0,0,0,0,0,1,1,0,0,0,1,1,1,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,D,0,West
131,929,M,1,72,0,0,0,0,17,1,8,1,186,3,12,9,13332,25771,0,0,1,12,0,0,0,0,10,1,1,0,0,9,1,0,0,0,6,84,M,0,South
132,808,M,0,0,0,1,0,1,1,0,3,2,117,1,8,1,568,570,3,8375,6,2,0,0,0,6,1,1,0,0,6,1,0,0,0,1,1,89,S,0,West
133,651,M,1,11,1,0,0,2,1,0,2,0,58,2,10,4,7736,,1,15,2,4,1,0,0,0,2,1,2,0,0,2,0,2,0,0,3,36,W,0,Midwest
134,916,F,0,0,0,0,0,0,19,0,1,0,35,3,5,4,224,5100,0,0,1,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,2,21,M,0,West
135,921,M,0,0,0,0,0,2,5,0,5,2,58,0,3,1,384,3500,0,0,1,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,42,M,0,West
136,916,M,0,0,0,0,0,0,11,1,1,0,95,2,9,6,32487,55332,0,0,1,9,0,0,0,0,8,1,0,0,0,7,1,0,0,0,5,48,M,0,West
137,805,F,0,0,0,0,0,2,2,0,0,0,5,1,1,1,111,550,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,S,0,South
138,887,M,0,0,0,0,0,0,0,0,6,4,56,4,14,11,30427,32460,0,0,1,12,0,0,0,0,12,0,0,0,0,11,0,0,0,0,11,35,S,0,Midwest
139,907,M,0,0,0,0,0,1,4,0,9,4,75,4,13,7,25978,37565,0,0,1,11,0,0,0,0,8,3,0,0,0,9,1,0,0,0,5,39,,0,West
140,644,M,9,3,7,0,0,0,0,0,0,0,118,0,4,3,17072,17116,0,0,1,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,50,W,0,East
141,650,M,3,49,0,1,0,0,0,0,1,1,116,0,10,2,1335,12325,2,6528,6,3,0,0,0,5,3,0,0,0,5,1,0,0,0,2,2,62,W,0,West
142,688,M,0,0,0,0,0,0,0,0,0,0,1,1,1,1,853,2898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,W,0,East
143,922,F,0,0,0,0,0,2,1,2,10,6,40,4,12,10,13551,22018,0,0,1,12,0,0,0,0,12,0,0,0,0,12,0,0,0,0,7,27,M,0,Midwest
144,909,M,0,0,0,0,0,4,1,2,9,1,123,10,40,15,38310,56572,0,0,1,36,0,0,0,0,35,1,0,0,0,26,1,0,0,0,12,41,S,0,South
145,983,M,0,0,0,0,0,1,1,0,6,3,375,2,13,9,13817,73002,0,0,1,12,0,0,0,0,12,0,0,0,0,10,0,0,0,0,3,134,M,0,West
146,949,F,0,0,0,0,0,0,10,0,14,6,243,1,25,7,33475,75736,1,9700,6,22,0,0,0,1,22,0,0,0,1,13,0,0,0,1,4,77,M,0,Midwest
147,824,F,3,5,1,1,0,7,0,5,6,1,112,15,38,20,35006,44679,3,3598,6,28,0,0,0,7,28,0,0,0,7,26,0,0,0,3,17,33,S,0,Midwest
148,955,M,0,0,0,0,0,2,4,0,5,2,103,5,22,6,6274,35600,0,0,1,20,0,0,0,0,20,0,0,0,0,13,0,0,0,0,5,60,M,0,West
149,805,M,0,0,0,0,0,1,1,0,2,0,22,2,2,2,2625,2625,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17,S,0,South
150,810,F,0,0,0,0,0,0,0,0,0,0,47,4,12,8,22149,22468,0,0,1,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,7,27,S,0,East
151,932,M,0,0,0,0,0,0,0,0,4,3,50,1,5,3,517,9300,0,0,1,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,2,32,M,0,West
152,938,M,0,0,0,0,0,1,0,0,0,0,59,0,1,1,104,5700,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,59,M,0,South
